# created 30.06.2020 01:05 CET
# command:  git log --oneline |
              awk '{print $2}' |
              grep -oP "^[a-zA-Z]+"|
              sort |
              uniq -c |
              sort -n --reverse > git-log-grouped.txt
    833 chore
    369 Merge
    217 docs
    202 fix
     76 refactor
     56 Added
     51 test
     51 build
     45 feat
     33 Add
     30 Update
     29 Fix
     21 update
     21 add
     17 WIP
     13 Publish
      9 working
      7 merge
      5 Fixed
      5 Edit
      5 ci
      4 Setup
      4 Remove
      4 remove
      4 fixed
      4 Docs
      4 Complete
      4 complete
      4 Change
      3 trying
      3 style
      3 pull
      3 Moved
      3 Installed
      3 Improve
      3 Created
      3 Create
      3 added
      2 start
      2 some
      2 Review
      2 review
      2 Resolved
      2 resolve
      2 Reorganizing
      2 Organized
      2 organized
      2 move
      2 Initial
      2 Fixes
      2 Converted
      2 Completed
      2 commnit
      2 changes
      2 Adding
      1 yarn
      1 Write
      1 v
      1 Updated
      1 Typo
      1 Typings
      1 Tweaked
      1 Tweak
      1 trial
      1 Throw
      1 Testing
      1 Stop
      1 Started
      1 Stack
      1 Some
      1 slider
      1 reviewed
      1 Revert
      1 revert
      1 resolved
      1 Replaced
      1 replace
      1 Reorganized
      1 Renamed
      1 removed
      1 Refine
      1 rebuild
      1 punctuate
      1 pulling
      1 publish
      1 Prevent
      1 perf
      1 Move
      1 Modify
      1 minor
      1 Making
      1 initial
      1 Import
      1 finish
      1 Finetuning
      1 Finetune
      1 Expose
      1 Export
      1 edit
      1 Documentation
      1 Deleted
      1 Delete
      1 Cross
      1 Creating
      1 Correct
      1 components
      1 Commented
      1 ColorModeProvider
      1 Color
      1 Collapse
      1 Cleaned
      1 Changes
      1 change
      1 By
      1 Bump
      1 bugfix
      1 Almost
      1 Allow
      1 Adjusted
      1 Adds
